"PRIMARY_ID","UNIQUE_ID","PLACE_NAME","PLACE_TYPE"
"t17180910-15","t17180910-15-defloc69","Alhallows in the Wall","defendantHome"
"t17180910-1","t17180910-15-defloc69","Alhallows in the Wall","defendantHome"
"t17180910-1","t17180910-18-defloc89","St. Buttolphs Bishops-gate","defendantHome"
"t17180910-18","t17180910-18-defloc89","St. Buttolphs Bishops-gate","defendantHome"
"t17180910-1","t17180910-19-defloc94","St. Andrews Holbourn","defendantHome"
"t17180910-19","t17180910-19-defloc94","St. Andrews Holbourn","defendantHome"
"t17180910-2","t17180910-2-defloc6","St. Martins in the Fields","defendantHome"
"t17180910-20","t17180910-20-defloc99","St. Buttolphs Bishops-gate","defendantHome"
"t17180910-2","t17180910-20-defloc99","St. Buttolphs Bishops-gate","defendantHome"
"t17180910-20","t17180910-20-crimeloc102","4 swans in Bishops-gate-street","crimeLocation"
"t17180910-2","t17180910-20-crimeloc102","4 swans in Bishops-gate-street","crimeLocation"
"t17180910-23","t17180910-23-defloc115","St. Anns Westminster","defendantHome"
"t17180910-2","t17180910-23-defloc115","St. Anns Westminster","defendantHome"
"t17180910-24","t17180910-24-defloc120","St. Andrew Holbourn","defendantHome"
"t17180910-2","t17180910-24-defloc120","St. Andrew Holbourn","defendantHome"
"t17180910-26","t17180910-26-defloc129","St. Sepulchres","defendantHome"
"t17180910-2","t17180910-26-defloc129","St. Sepulchres","defendantHome"
"t17180910-2","t17180910-27-defloc134","St. Mary Whitechappel","defendantHome"
"t17180910-27","t17180910-27-defloc134","St. Mary Whitechappel","defendantHome"
"t17180910-29","t17180910-29-defloc144","St. James Clerkenwell","defendantHome"
"t17180910-2","t17180910-29-defloc144","St. James Clerkenwell","defendantHome"
"t17180910-3","t17180910-3-defloc11","St. James's Westminster","defendantHome"
"t17180910-3","t17180910-30-defloc149","St. Giles in the Fields","defendantHome"
"t17180910-30","t17180910-30-defloc149","St. Giles in the Fields","defendantHome"
"t17180910-3","t17180910-31-defloc154","St. Dunstan's Stepney","defendantHome"
"t17180910-31","t17180910-31-defloc154","St. Dunstan's Stepney","defendantHome"
"t17180910-3","t17180910-32-defloc161","St. Margaret's Westminster","defendantHome"
"t17180910-32","t17180910-32-defloc161","St. Margaret's Westminster","defendantHome"
"t17180910-3","t17180910-34-defloc170","St. Sepulchres","defendantHome"
"t17180910-34","t17180910-34-defloc170","St. Sepulchres","defendantHome"
"t17180910-3","t17180910-35-defloc176","St. Stephen Coleman Street","defendantHome"
"t17180910-35","t17180910-35-defloc176","St. Stephen Coleman Street","defendantHome"
"t17180910-38","t17180910-38-defloc187","St. Buttolphs Aldgate","defendantHome"
"t17180910-3","t17180910-38-defloc187","St. Buttolphs Aldgate","defendantHome"
"t17180910-4","t17180910-4-defloc16","St. Giles's in the Fields","defendantHome"
"t17180910-43","t17180910-43-defloc213","St. Buttolph Aldgate","defendantHome"
"t17180910-4","t17180910-43-defloc213","St. Buttolph Aldgate","defendantHome"
"t17180910-43","t17180910-43-crimeloc216","St. Katherines-Lane","crimeLocation"
"t17180910-4","t17180910-43-crimeloc216","St. Katherines-Lane","crimeLocation"
"t17180910-47","t17180910-47-defloc233","St. Giles's in the Fields","defendantHome"
"t17180910-4","t17180910-47-defloc233","St. Giles's in the Fields","defendantHome"
"t17180910-48","t17180910-48-defloc238","St. Buttolphs Aldgate","defendantHome"
"t17180910-4","t17180910-48-defloc238","St. Buttolphs Aldgate","defendantHome"
"t17180910-4","t17180910-49-defloc243","St. Martins in the Fields","defendantHome"
"t17180910-49","t17180910-49-defloc243","St. Martins in the Fields","defendantHome"
"t17180910-5","t17180910-5-defloc20","St. Anns Westminster","defendantHome"
"t17180910-5","t17180910-50-defloc249","St. Martins in the Fields","defendantHome"
"t17180910-50","t17180910-50-defloc249","St. Martins in the Fields","defendantHome"
"t17180910-5","t17180910-54-defloc269","Stepney","defendantHome"
"t17180910-54","t17180910-54-defloc269","Stepney","defendantHome"
"t17180910-5","t17180910-56-defloc277","St. Sepulchres","defendantHome"
"t17180910-56","t17180910-56-defloc277","St. Sepulchres","defendantHome"
"t17180910-6","t17180910-6-defloc25","St. Pauls Covent Garden","defendantHome"
"t17180910-6","t17180910-62-defloc300","St. Clement-Danes","defendantHome"
"t17180910-62","t17180910-62-defloc300","St. Clement-Danes","defendantHome"
"t17180910-6","t17180910-66-defloc324","Marybone","defendantHome"
"t17180910-66","t17180910-66-defloc324","Marybone","defendantHome"
"t17180910-70","t17180910-70-defloc348","St. Andrews Holbourn","defendantHome"
"t17180910-72","t17180910-72-defloc357","St. Giles's Cripplegate","defendantHome"
"t17180910-80","t17180910-80-crimeloc405","between Hounslow and London","crimeLocation"
"t17181015-13","t17181015-13-crimeloc61","St. James's Park","crimeLocation"
"t17181015-19","t17181015-19-defloc94","St. Giles's Cripplegate","defendantHome"
"t17181015-22","t17181015-22-defloc109","Stepney","defendantHome"
"t17181015-24","t17181015-24-defloc120","St. Michaels Cornhill","defendantHome"
"t17181015-3","t17181015-3-defloc16","St. Mary White-Chappel","defendantHome"
"t17181015-3","t17181015-30-defloc146","Fulham","defendantHome"
"t17181015-30","t17181015-30-defloc146","Fulham","defendantHome"
"t17181015-3","t17181015-37-defloc177","St. Sepulchres","defendantHome"
"t17181015-37","t17181015-37-defloc177","St. Sepulchres","defendantHome"
"t17181205-11","t17181205-11-defloc59","St. Dunstans Stepney","defendantHome"
"t17181205-12","t17181205-12-defloc64","St. Dunstans Stepney","defendantHome"
"t17181205-13","t17181205-13-defloc70","St. Buttolphs Aldgate","defendantHome"
"t17181205-14","t17181205-14-defloc76","St. Sepulchres","defendantHome"
"t17181205-16","t17181205-16-defloc85","St. Sepulchres","defendantHome"
