"PRIMARY_ID","BREAKING_PEACE","DAMAGE","DECEPTION","KILL","MISC","ROYAL_OFFENCES","SEXUAL","THEFT","VIOLENT_THEFT"
"t17190225-16","0","0","0","0","0","0","0","1","0"
"t17190225-18","0","0","0","0","0","0","0","1","0"
"t17190225-19","0","0","0","0","0","0","0","1","0"
"t17190225-2","0","0","0","0","0","0","0","1","0"
"t17190225-22","0","0","0","0","0","0","0","1","0"
"t17190225-25","0","0","0","0","0","0","0","1","0"
"t17190225-29","0","0","0","0","0","0","0","1","0"
"t17190225-3","0","0","0","0","0","0","0","1","0"
"t17190225-31","0","0","0","0","0","0","0","1","0"
"t17190225-32","0","0","0","0","0","0","0","1","0"
"t17190225-33","0","0","0","0","0","0","0","1","0"
"t17190225-34","0","0","0","0","0","0","0","1","0"
"t17190225-35","0","0","0","0","0","0","0","1","0"
"t17190225-37","0","0","0","0","0","0","0","1","0"
"t17190225-38","0","0","0","0","0","0","0","1","0"
"t17190225-39","0","0","0","0","0","0","0","1","0"
"t17190225-40","0","0","0","0","0","0","0","1","0"
"t17190225-5","0","0","0","0","0","0","0","1","0"
"t17190225-6","0","0","0","0","0","0","0","1","0"
"t17190225-7","0","0","0","0","0","0","0","1","0"
"t17190408-16","0","0","0","0","0","0","0","1","0"
"t17190408-17","0","0","0","0","0","0","0","1","0"
"t17190408-20","0","0","0","0","0","0","0","1","0"
"t17190408-21","0","0","0","0","0","0","0","1","0"
"t17190408-22","0","0","0","0","0","0","0","1","0"
"t17190408-23","0","0","0","0","0","0","0","1","0"
"t17190408-27","0","0","0","0","0","0","0","1","0"
"t17190408-28","0","0","0","0","0","0","0","1","0"
"t17190408-29","0","0","0","0","0","0","0","1","0"
"t17190408-3","0","0","0","0","0","0","0","1","0"
"t17190408-30","0","0","0","0","0","0","0","1","0"
"t17190408-31","0","0","0","0","0","0","0","1","0"
"t17190408-32","0","0","0","0","0","0","0","1","0"
"t17190408-34","0","0","0","0","0","0","0","1","0"
"t17190408-35","0","0","0","0","0","0","0","1","0"
"t17190408-36","0","0","0","0","0","0","0","1","0"
"t17190408-38","0","0","0","0","0","0","0","1","0"
"t17190408-44","0","0","0","0","0","0","0","1","0"
"t17190408-5","0","0","0","0","0","0","0","1","0"
"t17190408-7","0","0","0","0","0","0","0","1","0"
"t17190514-1","0","0","0","0","0","0","0","1","0"
"t17190514-14","0","0","0","0","0","0","0","1","0"
"t17190514-19","0","0","0","0","0","0","0","1","0"
"t17190514-23","0","0","0","0","0","0","0","1","0"
"t17190514-25","0","0","0","0","0","0","0","1","0"
"t17190514-26","0","0","0","0","0","0","0","1","0"
"t17190514-27","0","0","0","0","0","0","0","1","0"
"t17190514-31","0","0","0","0","0","0","0","1","0"
"t17190514-37","0","0","0","0","0","0","0","1","0"
"t17190514-38","0","0","0","0","0","0","0","1","0"
"t17190514-39","0","0","0","0","0","0","0","1","0"
"t17190514-4","0","0","0","0","0","0","0","1","0"
"t17190514-44","0","0","0","0","0","0","0","1","0"
"t17190514-5","0","0","0","0","0","0","0","1","0"
"t17190514-8","0","0","0","0","0","0","0","1","0"
"t17190708-1","0","0","0","0","0","0","0","1","0"
"t17190708-10","0","0","0","0","0","0","0","1","0"
"t17190708-11","0","0","0","0","0","0","0","1","0"
"t17190708-13","0","0","0","0","0","0","0","1","0"
"t17190708-15","0","0","0","0","0","0","0","1","0"
"t17190708-17","0","0","0","0","0","0","0","1","0"
"t17190708-18","0","0","0","0","0","0","0","1","0"
"t17190708-19","0","0","0","0","0","0","0","1","0"
"t17190708-2","0","0","0","0","0","0","0","1","0"
"t17190708-21","0","0","0","0","0","0","0","1","0"
"t17190708-22","0","0","0","0","0","0","0","1","0"
"t17190708-23","0","0","0","0","0","0","0","1","0"
"t17190708-25","0","0","0","0","0","0","0","1","0"
"t17190708-28","0","0","0","0","0","0","0","1","0"
"t17190708-29","0","0","0","0","0","0","0","1","0"
