"ID","DATESTAMP"
"t17290226-27","2/26/1729"
"t17290226-30","2/26/1729"
"t17290226-33","2/26/1729"
"t17300828-72","8/28/1730"
"t17290226-90","2/26/1729"
"t17290416-12","4/16/1729"
"t17280117-18","1/17/1728"
"t17281016-11","10/16/1728"
"t17281016-2","10/16/1728"
"t17281016-20","10/16/1728"
"t17281016-22","10/16/1728"
"t17260831-27","8/31/1726"
"t17260831-33","8/31/1726"
"t17280117-32","1/17/1728"
"t17281016-30","10/16/1728"
"t17261012-12","10/12/1726"
"t17270412-38","4/12/1727"
"t17270412-57","4/12/1727"
"t17280117-42","1/17/1728"
"t17280117-7","1/17/1728"
"t17281016-36","10/16/1728"
"t17261012-21","10/12/1726"
"t17261012-26","10/12/1726"
"t17261012-31","10/12/1726"
"t17270412-8","4/12/1727"
"t17270517-10","5/17/1727"
"t17261012-43","10/12/1726"
"t17270517-18","5/17/1727"
"t17270517-21","5/17/1727"
"t17280228-35","2/28/1728"
"t17261207-2","12/7/1726"
"t17280228-55","2/28/1728"
"t17280228-63","2/28/1728"
"t17281204-27","12/4/1728"
"t17281204-28","12/4/1728"
"t17270705-11","7/5/1727"
"t17280501-16","5/1/1728"
"t17281204-57","12/4/1728"
"t17280501-41","5/1/1728"
"t17280605-1","6/5/1728"
"t17261207-63","12/7/1726"
"t17280605-36","6/5/1728"
"t17270113-16","1/13/1727"
"t17270705-55","7/5/1727"
"t17290116-14","1/16/1729"
"t17290116-19","1/16/1729"
"t17290116-22","1/16/1729"
"t17270113-32","1/13/1727"
"t17270113-45","1/13/1727"
"t17270830-24","8/30/1727"
"t17270222-10","2/22/1727"
"t17270830-36","8/30/1727"
"t17270830-6","8/30/1727"
"t17270830-9","8/30/1727"
"t17281204-43","12/4/1728"
"t17281204-5","12/4/1728"
"t17271017-2","10/17/1727"
"t17271017-4","10/17/1727"
"t17280717-48","7/17/1728"
"t17280717-49","7/17/1728"
"t17271206-11","12/6/1727"
"t17271206-12","12/6/1727"
"t17271206-17","12/6/1727"
"t17281204-2","12/4/1728"
"t17281204-21","12/4/1728"
"t17271206-27","12/6/1727"
"t17280828-24","8/28/1728"
"t17280828-3","8/28/1728"
"t17270222-47","2/22/1727"
"t17270222-53","2/22/1727"
"t17271206-51","12/6/1727"
"t17280828-8","8/28/1728"
"t17260711-9","7/11/1726"
"t17271206-58","12/6/1727"
"t17271206-62","12/6/1727"
"t17331010-9","10/10/1733"
"t17351210-11","12/10/1735"
"t17351210-13","12/10/1735"
"t17351210-15","12/10/1735"
"t17331205-45","12/5/1733"
"t17331205-46","12/5/1733"
"t17331205-5","12/5/1733"
"t17331205-53","12/5/1733"
"t17331205-26","12/5/1733"
"t17340116-10","1/16/1734"
"t17340116-17","1/16/1734"
"t17340911-7","9/11/1734"
"t17341016-14","10/16/1734"
"t17341016-15","10/16/1734"
"t17340116-26","1/16/1734"
"t17340116-27","1/16/1734"
"t17341016-18","10/16/1734"
"t17341204-12","12/4/1734"
"t17341204-18","12/4/1734"
"t17350416-37","4/16/1735"
"t17350416-44","4/16/1735"
"t17350416-45","4/16/1735"
"t17360115-11","1/15/1736"
"t17360115-12","1/15/1736"
"t17350416-49","4/16/1735"
"t17341204-33","12/4/1734"
"t17341204-36","12/4/1734"
"t17350416-64","4/16/1735"
"t17360115-34","1/15/1736"
"t17340227-48","2/27/1734"
"t17341204-52","12/4/1734"
"t17360225-2","2/25/1736"
"t17340227-61","2/27/1734"
"t17340227-7","2/27/1734"
"t17340424-29","4/24/1734"
"t17340424-3","4/24/1734"
"t17350116-15","1/16/1735"
"t17350116-2","1/16/1735"
"t17350116-20","1/16/1735"
"t17350116-23","1/16/1735"
"t17350702-37","7/2/1735"
"t17340424-4","4/24/1734"
"t17340424-46","4/24/1734"
"t17350702-9","7/2/1735"
"t17350911-14","9/11/1735"
"t17360225-36","2/25/1736"
"t17360225-39","2/25/1736"
"t17340424-7","4/24/1734"
"t17350116-52","1/16/1735"
"t17350116-56","1/16/1735"
"t17350911-15","9/11/1735"
"t17350911-30","9/11/1735"
"t17340630-18","6/30/1734"
"t17340630-23","6/30/1734"
"t17350226-10","2/26/1735"
"t17350911-47","9/11/1735"
"t17340630-34","6/30/1734"
"t17340630-9","6/30/1734"
"t17340710-10","7/10/1734"
"t17350226-16","2/26/1735"
"t17360225-40","2/25/1736"
"t17360225-44","2/25/1736"
"t17350226-5","2/26/1735"
"t17340911-18","9/11/1734"
"t17340911-21","9/11/1734"
"t17331010-28","10/10/1733"
"t17331010-29","10/10/1733"
"t17331205-38","12/5/1733"
"t17320705-25","7/5/1732"
"t17330221-4","2/21/1733"
"t17310428-33","4/28/1731"
"t17311208-22","12/8/1731"
"t17320705-53","7/5/1732"
"t17330221-51","2/21/1733"
"t17310428-53","4/28/1731"
"t17330404-20","4/4/1733"
"t17310428-62","4/28/1731"
"t17310428-7","4/28/1731"
"t17311208-70","12/8/1731"
"t17311208-9","12/8/1731"
"t17320114-17","1/14/1732"
"t17320114-3","1/14/1732"
"t17320114-4","1/14/1732"
"t17320114-46","1/14/1732"
"t17321011-40","10/11/1732"
"t17310602-5","6/2/1731"
"t17310714-13","7/14/1731"
"t17320114-52","1/14/1732"
"t17330912-14","9/12/1733"
"t17330912-19","9/12/1733"
"t17321206-18","12/6/1732"
"t17310714-5","7/14/1731"
"t17320223-4","2/23/1732"
"t17321206-28","12/6/1732"
"t17330628-12","6/28/1733"
"t17330628-13","6/28/1733"
"t17310908-12","9/8/1731"
"t17321206-44","12/6/1732"
"t17321206-48","12/6/1732"
"t17330912-26","9/12/1733"
"t17320419-36","4/19/1732"
"t17321206-56","12/6/1732"
"t17331010-16","10/10/1733"
"t17310908-55","9/8/1731"
"t17310908-59","9/8/1731"
"t17320419-51","4/19/1732"
"t17320525-1","5/25/1732"
"t17320525-14","5/25/1732"
"t17320525-2","5/25/1732"
"t17330112-10","1/12/1733"
"t17330112-14","1/12/1733"
"t17330628-28","6/28/1733"
"t17320525-28","5/25/1732"
"t17330112-17","1/12/1733"
"t17330112-20","1/12/1733"
"t17330912-4","9/12/1733"
"t17311013-14","10/13/1731"
"t17320525-32","5/25/1732"
"t17320525-35","5/25/1732"
"t17330112-32","1/12/1733"
"t17330112-35","1/12/1733"
"t17330112-5","1/12/1733"
"t17330404-8","4/4/1733"
"t17310224-8","2/24/1731"
"t17310428-10","4/28/1731"
"t17311013-4","10/13/1731"
"t17311013-49","10/13/1731"
"t17320525-57","5/25/1732"
"t17330221-21","2/21/1733"
"t17330221-27","2/21/1733"
"t17311013-7","10/13/1731"
"t17381206-45","12/6/1738"
"t17401015-31","10/15/1740"
"t17390906-35","9/6/1739"
"t17390906-40","9/6/1739"
"t17390221-30","2/21/1739"
"t17390906-51","9/6/1739"
"t17391205-10","12/5/1739"
"t17401015-49","10/15/1740"
"t17401015-55","10/15/1740"
"t17391205-22","12/5/1739"
"t17391205-35","12/5/1739"
"t17391205-36","12/5/1739"
"t17400416-45","4/16/1740"
"t17390221-58","2/21/1739"
"t17390221-7","2/21/1739"
"t17400522-21","5/22/1740"
"t17410116-5","1/16/1741"
"t17390502-16","5/2/1739"
"t17400522-28","5/22/1740"
"t17401204-21","12/4/1740"
"t17390502-31","5/2/1739"
"t17391205-64","12/5/1739"
"t17390502-47","5/2/1739"
"t17390502-48","5/2/1739"
"t17400116-28","1/16/1740"
"t17400116-29","1/16/1740"
"t17400116-32","1/16/1740"
"t17400709-53","7/9/1740"
"t17390502-9","5/2/1739"
"t17390607-1","6/7/1739"
"t17390607-15","6/7/1739"
"t17390607-16","6/7/1739"
"t17400709-54","7/9/1740"
"t17400709-56","7/9/1740"
"t17390607-21","6/7/1739"
"t17400116-53","1/16/1740"
"t17400116-57","1/16/1740"
"t17400116-58","1/16/1740"
"t17400903-13","9/3/1740"
"t17410225-20","2/25/1741"
"t17410225-42","2/25/1741"
"t17390607-24","6/7/1739"
"t17390607-28","6/7/1739"
"t17390607-32","6/7/1739"
"t17401204-7","12/4/1740"
"t17390607-39","6/7/1739"
"t17410116-38","1/16/1741"
"t17390718-29","7/18/1739"
"t17400903-36","9/3/1740"
"t17401204-19","12/4/1740"
"t17390718-4","7/18/1739"
